name,description,instructions,exercise_type,category,muscle_group,difficulty_level,met_value,video_url,image_avt_url,image_avt_public_id,image_url,image_public_ids,favorites_count,secondary_muscle_groups,equipment,form_tips,is_active,default_sets,default_reps,default_weight_kg,target_muscle_group,rest_time_seconds,default_duration_minutes,default_intensity_level,movement_type,estimated_calories_per_minute
Hít đất cơ bản,Bài tập thân trên dùng trọng lượng cơ thể,"Đặt tay rộng bằng vai giữ thân người thẳng hạ ngực gần sàn rồi đẩy lên",GYM,Ngực,Ngực,BEGINNER,5,,,,{},{},0,[],Không dụng cụ,Giữ core chắc và không võng lưng,true,3,10,,Ngực,60,,,strength,
Hít đất gối,Biến thể hít đất dễ hơn cho người mới,"Chống gối xuống sàn đặt tay rộng bằng vai hạ ngực có kiểm soát rồi đẩy lên",GYM,Ngực,Ngực,BEGINNER,4,,,,{},{},0,[],Không dụng cụ,Giữ vai xa tai và thở đều,true,3,12,,Ngực,45,,,strength,
Hít đất kim cương,Biến thể nhấn mạnh tay sau và ngực trong,"Đặt hai bàn tay gần nhau tạo hình kim cương hạ người chậm rồi đẩy lên",GYM,Ngực,Tay sau,INTERMEDIATE,6,,,,{},{},0,[],Không dụng cụ,Không khóa cứng khuỷu tay ở đỉnh,true,3,8,,Tay sau,75,,,strength,
Đẩy ngực với tạ đơn,Bài tập ngực với tạ đơn trên ghế phẳng,"Nằm trên ghế giữ tạ hai bên ngực đẩy thẳng lên rồi hạ chậm",GYM,Ngực,Ngực,BEGINNER,5,,,,{},{},0,[],Tạ đơn và ghế tập,Giữ cổ tay thẳng và kiểm soát đường tạ,true,3,10,,Ngực,90,,,strength,
Đẩy ngực với thanh đòn,Bài tập compound chính cho nhóm ngực,"Nằm trên ghế nắm thanh rộng hơn vai hạ thanh tới ngực rồi đẩy lên",GYM,Ngực,Ngực,INTERMEDIATE,6,,,,{},{},0,[],Thanh đòn và ghế tập,Luôn giữ bả vai siết nhẹ và chân bám sàn,true,4,8,,Ngực,120,,,strength,
Ép ngực với tạ đơn,Bài tập cô lập giúp kéo giãn cơ ngực,"Nằm trên ghế mở hai tay sang hai bên rồi ép tạ về trước ngực",GYM,Ngực,Ngực,INTERMEDIATE,4,,,,{},{},0,[],Tạ đơn và ghế tập,Hạ tạ vừa tầm tránh căng vai quá mức,true,3,12,,Ngực,75,,,strength,
Kéo xô trước ngực,Bài tập lưng với máy kéo cáp,"Ngồi thẳng kéo tay cầm xuống trước ngực rồi trả chậm lên trên",GYM,Lưng,Lưng,BEGINNER,5,,,,{},{},0,[],Máy kéo xô,Kéo bằng khuỷu tay thay vì giật bằng tay,true,3,10,,Lưng,75,,,strength,
Kéo xô tay hẹp,Biến thể kéo xô nhấn mạnh lưng giữa,"Ngồi thẳng kéo tay cầm hẹp về ngực giữ một nhịp rồi trả chậm",GYM,Lưng,Lưng,BEGINNER,5,,,,{},{},0,[],Máy kéo cáp,Giữ ngực mở và không ngả người quá nhiều,true,3,10,,Lưng,75,,,strength,
Ngồi kéo cáp,Bài tập lưng giữa với dây cáp,"Ngồi giữ lưng thẳng kéo tay cầm về bụng rồi duỗi tay có kiểm soát",GYM,Lưng,Lưng,BEGINNER,5,,,,{},{},0,[],Máy kéo cáp,Siết bả vai cuối động tác,true,3,12,,Lưng,75,,,strength,
Gập người kéo tạ đơn,Bài tập lưng từng bên với tạ đơn,"Chống một tay lên ghế kéo tạ về hông rồi hạ xuống chậm",GYM,Lưng,Lưng,BEGINNER,5,,,,{},{},0,[],Tạ đơn và ghế tập,Không xoay thân quá nhiều,true,3,10,,Lưng,75,,,strength,
Kéo thanh đòn cúi người,Bài tập compound cho lưng và thân sau,"Gập hông giữ lưng trung lập kéo thanh về bụng rồi hạ xuống",GYM,Lưng,Lưng,INTERMEDIATE,6,,,,{},{},0,[],Thanh đòn,Giữ cột sống trung lập suốt động tác,true,4,8,,Lưng,120,,,strength,
Deadlift cơ bản,Bài tập toàn thân nhấn mạnh chuỗi sau,"Đứng gần thanh gập hông nắm thanh kéo lên bằng chân và hông",GYM,Toàn thân,Lưng,ADVANCED,7,,,,{},{},0,[],Thanh đòn,Không cong lưng và bắt đầu với mức tạ nhẹ,true,3,5,,Lưng,150,,,strength,
Squat không tạ,Bài tập chân cơ bản dùng trọng lượng cơ thể,"Đứng rộng bằng vai đẩy hông ra sau hạ xuống rồi đứng lên",GYM,Chân,Chân,BEGINNER,5,,,,{},{},0,[],Không dụng cụ,Đầu gối đi theo hướng mũi chân,true,3,12,,Chân,60,,,strength,
Goblet squat,Squat giữ tạ trước ngực phù hợp người mới,"Ôm tạ trước ngực hạ hông xuống sâu vừa tầm rồi đứng lên",GYM,Chân,Chân,BEGINNER,5,,,,{},{},0,[],Tạ đơn hoặc kettlebell,Giữ ngực cao và gót chân bám sàn,true,3,10,,Chân,75,,,strength,
Barbell squat,Squat với thanh đòn cho thân dưới,"Đặt thanh trên lưng trên hạ người xuống rồi đẩy lên bằng chân",GYM,Chân,Chân,INTERMEDIATE,6,,,,{},{},0,[],Thanh đòn và rack,Tăng tải từ từ và giữ core chắc,true,4,8,,Chân,120,,,strength,
Lunge tại chỗ,Bài tập chân từng bên cải thiện thăng bằng,"Bước một chân lên trước hạ gối sau xuống rồi đẩy về vị trí đầu",GYM,Chân,Chân,BEGINNER,5,,,,{},{},0,[],Không dụng cụ,Giữ thân trên thẳng và bước đủ dài,true,3,10,,Chân,60,,,strength,
Walking lunge,Bài tập chân di chuyển liên tục,"Bước tới trước hạ người rồi đổi chân tiến về phía trước",GYM,Chân,Chân,INTERMEDIATE,6,,,,{},{},0,[],Không dụng cụ,Kiểm soát đầu gối trước không đổ vào trong,true,3,12,,Chân,75,,,strength,
Leg press,Bài tập chân với máy đạp đùi,"Ngồi vào máy đặt chân lên bàn đạp đẩy ra rồi hạ về từ từ",GYM,Chân,Chân,BEGINNER,5,,,,{},{},0,[],Máy leg press,Không khóa cứng gối ở cuối động tác,true,3,10,,Chân,90,,,strength,
Romanian deadlift,Bài tập gân kheo và mông,"Cầm tạ gập hông đưa tạ xuống sát đùi rồi kéo hông về trước",GYM,Chân,Mông,INTERMEDIATE,6,,,,{},{},0,[],Thanh đòn hoặc tạ đơn,Cảm nhận căng gân kheo và giữ lưng thẳng,true,3,10,,Mông,90,,,strength,
Hip thrust,Bài tập mông với điểm tựa ghế,"Tựa lưng trên ghế đặt tạ lên hông đẩy hông lên rồi hạ xuống",GYM,Chân,Mông,INTERMEDIATE,5,,,,{},{},0,[],Ghế tập và thanh đòn,Siết mông ở đỉnh và không ưỡn lưng quá mức,true,3,10,,Mông,90,,,strength,
Nâng bắp chân đứng,Bài tập cô lập bắp chân,"Đứng thẳng nhón gót lên cao rồi hạ chậm xuống",GYM,Chân,Bắp chân,BEGINNER,4,,,,{},{},0,[],Không dụng cụ,Giữ nhịp chậm để tăng kiểm soát,true,3,15,,Bắp chân,45,,,strength,
Đẩy vai tạ đơn,Bài tập vai với tạ đơn,"Ngồi hoặc đứng giữ tạ ngang vai đẩy lên cao rồi hạ xuống",GYM,Vai,Vai,BEGINNER,5,,,,{},{},0,[],Tạ đơn,Không ưỡn lưng khi đẩy tạ,true,3,10,,Vai,75,,,strength,
Đẩy vai thanh đòn,Bài tập vai compound với thanh đòn,"Đứng giữ thanh trước vai đẩy thẳng lên đầu rồi hạ xuống",GYM,Vai,Vai,INTERMEDIATE,6,,,,{},{},0,[],Thanh đòn,Siết mông và bụng để ổn định thân,true,4,8,,Vai,120,,,strength,
Nâng vai ngang,Bài tập cô lập vai giữa,"Cầm tạ hai bên nâng tay ngang vai rồi hạ xuống chậm",GYM,Vai,Vai,BEGINNER,4,,,,{},{},0,[],Tạ đơn,Dùng tạ nhẹ và tránh nhún người,true,3,12,,Vai,60,,,strength,
Nâng vai trước,Bài tập vai trước với tạ đơn,"Cầm tạ trước đùi nâng lên ngang vai rồi hạ xuống",GYM,Vai,Vai,BEGINNER,4,,,,{},{},0,[],Tạ đơn,Không vung tạ bằng quán tính,true,3,12,,Vai,60,,,strength,
Face pull,Bài tập vai sau và lưng trên,"Kéo dây cáp về ngang mặt mở khuỷu tay sang hai bên",GYM,Vai,Vai sau,BEGINNER,4,,,,{},{},0,[],Dây cáp hoặc dây kháng lực,Giữ cổ trung lập và siết bả vai,true,3,15,,Vai sau,60,,,strength,
Cuốn tay trước tạ đơn,Bài tập tay trước cơ bản,"Cầm tạ hai bên cuốn lên gần vai rồi hạ xuống chậm",GYM,Tay,Tay trước,BEGINNER,4,,,,{},{},0,[],Tạ đơn,Giữ khuỷu tay gần thân người,true,3,12,,Tay trước,60,,,strength,
